Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,8.0,83.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,81.0,52.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,81.0,52.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,81.0,52.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,81.0,52.0,1.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,81.0,52.0,0.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,60.0,17.0,80.0,50.0,1.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,85.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,55.0,1.0,Rabbit
18.0,pursuit,60.0,17.0,80.0,50.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,61.0,1.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,58.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,89.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,61.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,1.0,Rabbit
18.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,1.0,Rabbit
18.0,pursuit,60.0,17.0,80.0,50.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,0.0,Rabbit
18.0,pursuit,60.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,64.0,12.0,81.0,50.0,0.0,Rabbit
18.0,pursuit,60.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,90.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,15.0,89.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,15.0,91.0,61.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,57.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,61.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,7.0,91.0,66.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,61.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,60.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,63.0,11.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,64.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,89.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,95.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,57.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,62.0,18.0,63.0,85.0,1.0,Rabbit
18.0,pursuit,61.0,14.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,14.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,62.0,18.0,63.0,85.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,60.0,11.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,63.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,11.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,62.0,18.0,63.0,85.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,17.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,1.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
18.0,pursuit,61.0,12.0,91.0,67.0,0.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,0.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,0.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,0.0,Rabbit
19.0,pursuit,20.0,33.0,64.0,54.0,0.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,24.0,21.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,21.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,20.0,33.0,64.0,54.0,1.0,Rabbit
19.0,pursuit,33.0,18.0,60.0,76.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,24.0,28.0,60.0,54.0,1.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,20.0,33.0,64.0,54.0,1.0,Rabbit
19.0,pursuit,20.0,33.0,64.0,54.0,1.0,Rabbit
19.0,pursuit,20.0,36.0,64.0,54.0,1.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,21.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,33.0,18.0,60.0,76.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,20.0,36.0,64.0,54.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,60.0,7.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,60.0,7.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,47.0,0.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,1.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,26.0,18.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,49.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,26.0,22.0,78.0,65.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,46.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,46.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,46.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,78.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,8.0,83.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,84.0,50.0,0.0,Rabbit
19.0,pursuit,55.0,10.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,61.0,12.0,81.0,52.0,1.0,Rabbit
19.0,pursuit,61.0,12.0,81.0,52.0,0.0,Rabbit
19.0,pursuit,61.0,12.0,81.0,52.0,0.0,Rabbit
19.0,pursuit,61.0,12.0,81.0,52.0,0.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,17.0,80.0,50.0,0.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,64.0,12.0,81.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,17.0,80.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,17.0,80.0,50.0,1.0,Rabbit
19.0,pursuit,60.0,17.0,80.0,50.0,1.0,Rabbit
19.0,pursuit,61.0,11.0,91.0,55.0,1.0,Rabbit
19.0,pursuit,60.0,12.0,81.0,50.0,0.0,Rabbit
19.0,pursuit,61.0,11.0,92.0,55.0,1.0,Rabbit
